project_id,Type,Unit,StartPrice,HighPrice,PricePerArea,Province,project_status,BuiltDate
6663,บ้านเดี่ยว,280,2790000,,,นครราชสีมา,A,2016-09-20T16:06:30.200Z
1907,ทาวน์โฮม,,2790000,5000000,,นนทบุรี,U,2010-10-04T00:00:00.000Z
2370,บ้านเดี่ยว,,2790000,,,นนทบุรี,U,2011-05-16T12:01:34.500Z
2753,บ้านเดี่ยว,,2790000,3300000,,นนทบุรี,U,2011-05-16T17:08:59.577Z
2719,บ้านเดี่ยว,,2790000,,,นนทบุรี,A,2011-05-16T17:08:59.577Z
2769,บ้านเดี่ยว,,2790000,,,นนทบุรี,U,2011-05-16T17:08:59.577Z
4184,บ้านเดี่ยว,,2790000,,,นนทบุรี,U,2013-10-03T09:21:22.960Z
5067,บ้านแฝด,,2790000,,,นนทบุรี,A,2014-09-04T14:15:50.633Z
9527,ทาวน์โฮม,,2790000,,,นนทบุรี,A,2018-02-27T11:31:48.537Z
9612,ทาวน์โฮม,,2790000,,,นนทบุรี,A,2018-03-16T10:58:52.417Z
1227,บ้านเดี่ยว,300,2790000,,,ปทุมธานี,U,2010-07-07T00:00:00.000Z
9075,ทาวน์โฮม,373,2790000,,,ปทุมธานี,A,2017-10-03T11:52:18.653Z
8830,บ้านเดี่ยว,372,2790000,,,ปทุมธานี,A,2017-08-03T12:52:40.233Z
9313,บ้านเดี่ยว,44,2790000,,,พะเยา,A,2017-12-22T13:23:04.017Z
7519,คอนโดมิเนียม,352,2790000,,93000,ภูเก็ต,A,2016-10-26T14:09:56.980Z
8995,คอนโดมิเนียม,,2790000,,,ภูเก็ต,A,2017-09-15T08:51:46.307Z
9562,คอนโดมิเนียม,276,2790000,,103333.33,ภูเก็ต,A,2018-03-02T15:21:36.653Z
5807,บ้านเดี่ยว,,2790000,,,ระยอง,U,2015-10-15T16:55:34.230Z
6098,บ้านเดี่ยว,,2790000,,,ระยอง,A,2015-11-26T15:36:59.647Z
3209,ทาวน์โฮม,,2790000,,,สมุทรปราการ,U,2012-02-28T13:57:07.740Z
4060,ทาวน์โฮม,,2790000,,,สมุทรปราการ,A,2013-08-05T09:18:17.693Z
7837,บ้านเดี่ยว,,2790000,,,อุดรธานี,A,2016-11-08T11:06:23.933Z
9398,บ้านแฝด,,2790000,,,อุดรธานี,A,2018-01-23T14:59:11.583Z
1927,คอนโดมิเนียม,826,2800000,,,กรุงเทพมหานคร,U,2010-12-09T16:12:13.303Z
2334,คอนโดมิเนียม,133,2800000,,101449.28,กรุงเทพมหานคร,A,2011-03-09T10:47:50.940Z
4000,คอนโดมิเนียม,270,2800000,5500000,,กรุงเทพมหานคร,U,2013-07-25T09:04:56.393Z
4527,คอนโดมิเนียม,70,2800000,,,กรุงเทพมหานคร,U,2014-01-07T17:14:47.020Z
4659,คอนโดมิเนียม,74,2800000,,,กรุงเทพมหานคร,A,2014-01-24T14:21:37.497Z
4567,คอนโดมิเนียม,180,2800000,,,กรุงเทพมหานคร,U,2014-01-16T15:41:22.627Z
4894,คอนโดมิเนียม,523,2800000,,96551.72,กรุงเทพมหานคร,W,2014-04-08T13:52:25.817Z
5112,คอนโดมิเนียม,69,2800000,,91954.02,กรุงเทพมหานคร,A,2014-10-08T15:53:26.560Z
5153,คอนโดมิเนียม,669,2800000,,,กรุงเทพมหานคร,U,2014-11-04T12:52:32.377Z
6427,คอนโดมิเนียม,43,2800000,,,กรุงเทพมหานคร,A,2016-05-12T12:00:48.677Z
8676,คอนโดมิเนียม,560,2800000,,96551.72,กรุงเทพมหานคร,A,2017-06-05T10:25:21.533Z
8741,คอนโดมิเนียม,105,2800000,,107115.53,กรุงเทพมหานคร,A,2017-06-30T14:07:21.367Z
8873,คอนโดมิเนียม,341,2800000,,,กรุงเทพมหานคร,A,2017-08-15T11:36:35.803Z
9437,คอนโดมิเนียม,266,2800000,,,กรุงเทพมหานคร,U,2018-02-08T11:07:14.623Z
9616,โฮมออฟฟิศ,8,2800000,,,กรุงเทพมหานคร,A,2018-03-16T14:18:23.920Z
9632,คอนโดมิเนียม,960,2800000,,,กรุงเทพมหานคร,U,2018-03-20T15:41:05.703Z
5693,คอนโดมิเนียม,357,2800000,,,ชลบุรี,A,2015-09-17T10:07:01.103Z
5658,บ้านแฝด,,2800000,,,ชลบุรี,A,2015-08-24T15:35:51.347Z
6065,บ้านแฝด,219,2800000,,,ชลบุรี,A,2015-11-23T15:54:02.927Z
6846,บ้านเดี่ยว,47,2800000,,,ชลบุรี,A,2016-09-29T13:19:22.257Z
8176,ทาวน์โฮม,,2800000,5000000,,ชลบุรี,A,2016-12-23T09:57:25.933Z
9039,ทาวน์โฮม,,2800000,,,ชลบุรี,A,2017-09-25T10:57:29.427Z
9153,คอนโดมิเนียม,216,2800000,,100000,ชลบุรี,A,2017-11-03T13:46:22.210Z
9363,บ้านเดี่ยว,,2800000,,,ชลบุรี,A,2018-01-16T14:09:50.650Z
7879,บ้านเดี่ยว,60,2800000,,,เชียงราย,A,2016-11-14T11:25:12.650Z
3389,บ้านเดี่ยว,,2800000,,,เชียงใหม่,U,2012-06-15T09:53:56.397Z
3444,คอนโดมิเนียม,75,2800000,6130000,,เชียงใหม่,A,2012-07-02T12:57:53.290Z
4905,คอนโดมิเนียม,223,2800000,,106463.88,เชียงใหม่,A,2014-04-10T11:56:42.900Z
5523,บ้านเดี่ยว,,2800000,,,เชียงใหม่,A,2015-05-25T16:47:05.097Z
5268,บ้านเดี่ยว,315,2800000,,,เชียงใหม่,A,2014-12-22T09:55:27.140Z
7811,บ้านเดี่ยว,,2800000,,,เชียงใหม่,A,2016-11-07T15:29:16.673Z
7663,บ้านเดี่ยว,,2800000,,,เชียงใหม่,U,2016-11-02T09:22:34.160Z
7766,คอนโดมิเนียม,69,2800000,,,เชียงใหม่,A,2016-11-04T11:47:49.417Z
8691,โฮมออฟฟิศ,61,2800000,,,เชียงใหม่,A,2017-06-12T11:55:23.763Z
8476,ทาวน์โฮม,,2800000,,,ตรัง,A,2017-03-27T10:48:57.513Z
6659,บ้านเดี่ยว,182,2800000,5000000,,นครราชสีมา,A,2016-09-20T15:11:57.570Z
6748,บ้านเดี่ยว,220,2800000,3500000,,นครราชสีมา,A,2016-09-23T15:04:46.450Z
5060,ทาวน์โฮม,193,2800000,,,นนทบุรี,A,2014-09-03T16:39:17.363Z
8271,บ้านแฝด,,2800000,5000000,,นนทบุรี,A,2017-01-30T13:40:07.393Z
9178,ทาวน์โฮม,,2800000,3570000,,นนทบุรี,A,2017-11-13T16:17:19.910Z
2041,บ้านเดี่ยว,,2800000,,,ปทุมธานี,U,2010-10-28T00:00:00.000Z
3343,คอนโดมิเนียม,,2800000,,933333.33,ประจวบคีรีขันธ์,U,2012-04-27T17:31:16.927Z
5933,คอนโดมิเนียม,60,2800000,,90032.15,ภูเก็ต,A,2015-11-04T11:12:43.723Z
9013,บ้านเดี่ยว,,2800000,30000000,,ภูเก็ต,A,2017-09-20T15:59:53.733Z
7171,ทาวน์โฮม,62,2800000,,,ระยอง,A,2016-10-11T17:01:12.893Z
5965,บ้านเดี่ยว,,2800000,,,ระยอง,U,2015-11-10T10:24:12.683Z
2174,บ้านเดี่ยว,,2800000,7000000,,สมุทรปราการ,U,2011-01-26T11:11:36.953Z
5537,ทาวน์โฮม,,2800000,,,สมุทรปราการ,U,2015-06-03T15:00:32.640Z
6527,ทาวน์โฮม,353,2800000,,,สมุทรปราการ,A,2016-07-28T08:45:22.650Z
7808,บ้านแฝด,58,2800000,3490000,,อุดรธานี,A,2016-11-07T15:04:48.013Z
7228,คอนโดมิเนียม,75,2820000,,,ชลบุรี,A,2016-10-13T11:25:34.810Z
5581,คอนโดมิเนียม,65,2840000,,97260.27,ชลบุรี,A,2015-06-30T09:37:39.647Z
3539,ทาวน์โฮม,,2850000,,,กรุงเทพมหานคร,U,2012-09-06T16:05:12.087Z
5160,คอนโดมิเนียม,79,2850000,,102223.82,กรุงเทพมหานคร,A,2014-11-10T09:45:40.467Z
5587,ทาวน์โฮม,172,2850000,,,กรุงเทพมหานคร,A,2015-07-03T10:57:02.837Z
7966,ทาวน์โฮม,294,2850000,4030000,,กรุงเทพมหานคร,U,2016-11-21T09:34:56.697Z
6645,บ้านเดี่ยว,,2850000,4850000,,ขอนแก่น,U,2016-09-20T10:15:36.057Z
6503,บ้านแฝด,40,2850000,,,ชลบุรี,A,2016-07-06T14:39:39.520Z
7214,คอนโดมิเนียม,95,2850000,,,ชลบุรี,A,2016-10-13T09:38:25.400Z
7809,บ้านแฝด,219,2850000,,,เชียงใหม่,A,2016-11-07T15:07:29.947Z
8591,บ้านเดี่ยว,,2850000,,,ราชบุรี,A,2017-04-26T11:54:40.913Z
7565,บ้านแฝด,,2850000,,,สงขลา,A,2016-10-28T09:44:03.747Z
4163,บ้านแฝด,178,2850000,,,สมุทรสาคร,A,2013-09-12T15:05:05.230Z
7824,บ้านเดี่ยว,,2850000,,,อุดรธานี,A,2016-11-08T08:51:16.690Z
1101,บ้านเดี่ยว,339,2860000,,,กรุงเทพมหานคร,U,2011-03-28T17:17:01.460Z
2808,ทาวน์โฮม,,2860000,,,สมุทรปราการ,U,2011-05-16T17:08:59.577Z
2319,คอนโดมิเนียม,99,2880000,,,กรุงเทพมหานคร,U,2011-02-24T09:21:16.360Z
6997,โฮมออฟฟิศ,10,2880000,,,ชลบุรี,U,2016-10-05T14:58:19.810Z
6563,โฮมออฟฟิศ,87,2880000,,,นครปฐม,A,2016-08-30T09:58:35.023Z
6175,บ้านเดี่ยว,64,2880000,,,นนทบุรี,A,2015-12-15T17:16:25.130Z
7563,บ้านแฝด,,2880000,,,สงขลา,A,2016-10-28T08:47:31.613Z
8787,ทาวน์โฮม,,2880000,,,สงขลา,A,2017-07-24T15:26:46.537Z
9078,บ้านแฝด,,2880000,,,สมุทรปราการ,A,2017-10-04T09:30:51.393Z
3652,คอนโดมิเนียม,109,2889999,,,กรุงเทพมหานคร,A,2013-01-11T13:58:37.350Z
